symbol,side,entry_time,entry_price,quantity,score,atr,strategy,option_signal,trade_identity,underlying_symbol,strike,option_type,entry_reason,exit_time,exit_price,exit_reason,pnl,estimated_charges,net_pnl,partial_exit_count,partial_exit_events
COALINDIA.NS,BUY,2026-04-29 05:25:00+00:00,482.29998779296875,41,0.03188687048957377,2.2892870221819197,,,COALINDIA.NS,,,,,2026-04-29 08:30:00+00:00,481.0,TRAILING_STOP,-53.29949951171875,29.05833300374939,-82.35783251546815,0,[]
ADANIPORTS.NS,BUY,2026-04-29 05:30:00+00:00,1667.199951171875,11,0.01176490656646782,5.078578404017857,,,ADANIPORTS.NS,,,,,2026-04-29 06:25:00+00:00,1662.4000244140625,TRAILING_STOP,-52.7991943359375,26.946604674996333,-79.74579901093384,0,[]
TCS.NS,BUY,2026-04-29 05:35:00+00:00,2485.0,8,0.009191016326761309,4.25,,,TCS.NS,,,,,2026-04-29 05:40:00+00:00,2480.0,TRAILING_STOP,-40.0,29.225150799999994,-69.2251508,0,[]
ITC.NS,BUY,2026-04-29 05:40:00+00:00,313.54998779296875,63,0.008420453177282563,0.6928536551339286,,,ITC.NS,,,,,2026-04-29 06:30:00+00:00,313.8500061035156,TRAILING_STOP,18.901153564453125,29.089014161926578,-10.187860597473453,0,[]
INDIGO.NS,SELL,2026-04-29 05:45:00+00:00,4403.39990234375,4,0.01471394813177499,11.657121930803571,,,INDIGO.NS,,,,,2026-04-29 06:40:00+00:00,4417.2001953125,TRAILING_STOP,-55.201171875,25.95789349455078,-81.15906536955077,0,[]
ULTRACEMCO.NS,BUY,2026-04-29 05:50:00+00:00,12037.0,1,0.008948266451414513,18.142857142857142,,,ULTRACEMCO.NS,,,,,2026-04-29 05:55:00+00:00,12015.0,TRAILING_STOP,-22.0,17.69720628,-39.69720628,0,[]
ADANIENT.NS,SELL,2026-04-29 06:00:00+00:00,2402.60009765625,8,0.011989359177762622,8.7928466796875,,,ADANIENT.NS,,,,,2026-04-29 06:45:00+00:00,2411.39990234375,TRAILING_STOP,-70.3984375,28.332851851875002,-98.731289351875,0,[]
HINDUNILVR.NS,BUY,2026-04-29 06:25:00+00:00,2328.5,8,0.01306282095725346,3.928553989955357,,,HINDUNILVR.NS,,,,,2026-04-29 06:35:00+00:00,2329.5,TRAILING_STOP,8.0,27.42308496,-19.42308496,0,[]
NESTLEIND.NS,BUY,2026-04-29 06:30:00+00:00,1460.699951171875,13,0.009559715235900702,2.2785818917410716,,,NESTLEIND.NS,,,,,2026-04-29 06:50:00+00:00,1460.199951171875,TRAILING_STOP,-6.5,27.942278378764648,-34.44227837876465,0,[]
ITC.NS,BUY,2026-04-29 06:35:00+00:00,314.0,63,0.009547271261714478,0.6357182094029018,,,ITC.NS,,,,,2026-04-29 07:35:00+00:00,316.95001220703125,TRAILING_STOP,185.85076904296875,29.271961267025752,156.578807775943,0,[]
