symbol,side,entry_time,entry_price,quantity,score,atr,strategy,option_signal,trade_identity,underlying_symbol,strike,option_type,entry_reason,exit_time,exit_price,exit_reason,pnl,estimated_charges,net_pnl,partial_exit_count,partial_exit_events
INDIGO.NS,SELL,2026-04-30 03:45:00+00:00,4260.7998046875,23,0.07129058766484922,15.064208984375,,,INDIGO.NS,,,,"INDIGO.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-04-30 03:55:00+00:00,4231.10009765625,TRAILING_STOP,683.09326171875,121.86348829402831,561.2297734247217,0,[]
TRENT.NS,SELL,2026-04-30 03:55:00+00:00,4184.0,23,0.035306105538845334,13.742815290178571,,,TRENT.NS,,,,"TRENT.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-04-30 04:10:00+00:00,4184.5,TRAILING_STOP,-11.5,120.70320369499998,-132.20320369499998,0,[]
ETERNAL.NS,SELL,2026-04-30 04:15:00+00:00,245.5,345,0.07622516053760545,1.454998561314174,,,ETERNAL.NS,,,,"ETERNAL.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-04-30 06:35:00+00:00,244.69000244140625,TRAILING_STOP,279.44915771484375,111.81427711850891,167.63488059633482,0,[]
WIPRO.NS,SELL,2026-04-30 06:35:00+00:00,201.24000549316406,496,0.10214645357361676,0.27571323939732145,,,WIPRO.NS,,,,"WIPRO.NS context NO_GAP / GAP_FILL -> ['MA', 'RSI'] with 2 confirmations",2026-04-30 07:00:00+00:00,201.8800048828125,STOP_LOSS,-317.439697265625,123.52304201149171,-440.9627392771167,0,[]
NESTLEIND.NS,SELL,2026-04-30 07:05:00+00:00,1454.5999755859375,68,0.12153820295194456,2.7857142857142856,,,NESTLEIND.NS,,,,"NESTLEIND.NS context GAP_DOWN / SIDEWAYS -> ['VWAP', 'RSI'] with 2 confirmations",2026-04-30 08:25:00+00:00,1454.800048828125,TRAILING_STOP,-13.60498046875,122.7513161741455,-136.3562966428955,0,[]
NTPC.NS,SELL,2026-04-30 08:25:00+00:00,398.5,250,0.020476271970742393,0.7142835344587054,,,NTPC.NS,,,,"NTPC.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-04-30 08:45:00+00:00,398.6499938964844,TRAILING_STOP,-37.49847412109375,123.30177796012879,-160.80025208122254,0,[]
TATACONSUM.NS,SELL,2026-04-30 08:45:00+00:00,1145.9000244140625,87,0.014152505796178112,2.0142822265625,,,TATACONSUM.NS,,,,"TATACONSUM.NS context GAP_DOWN / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-04-30 09:00:00+00:00,1147.699951171875,TRAILING_STOP,-156.5936279296875,123.38632653778441,-279.9799544674719,0,[]
EICHERMOT.NS,SELL,2026-04-30 09:05:00+00:00,7132.5,14,0.184848965592041,17.071428571428573,,,EICHERMOT.NS,,,,"EICHERMOT.NS context GAP_DOWN / SIDEWAYS -> ['VWAP', 'RSI'] with 2 confirmations",2026-04-30 09:25:00+00:00,7146.0,TRAILING_STOP,-189.0,123.51863911000001,-312.51863911,0,[]
TECHM.NS,BUY,2026-04-30 09:25:00+00:00,1477.0999755859375,67,0.02721136329858179,2.5928431919642856,,,TECHM.NS,,,,"TECHM.NS context GAP_DOWN / GAP_GO -> ['ORB', 'VWAP', 'BREAKOUT'] with 2 confirmations",2026-04-30 09:30:00+00:00,1472.800048828125,TRAILING_STOP,-288.0950927734375,122.64631000146852,-410.741402774906,0,[]
HINDALCO.NS,SELL,2026-04-30 09:35:00+00:00,1038.5,96,0.03387368555088511,2.503566196986607,,,HINDALCO.NS,,,,"HINDALCO.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-04-30 09:45:00+00:00,1032.9000244140625,TRAILING_STOP,537.59765625,123.1996434532422,414.3980127967578,0,[]
ICICIBANK.NS,SELL,2026-04-30 09:45:00+00:00,1263.699951171875,79,0.023833271797027298,2.550013950892857,,,ICICIBANK.NS,,,,"ICICIBANK.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-05-04 03:45:00+00:00,1271.0999755859375,STOP_LOSS,-584.6019287109375,123.60885856617554,-708.210787277113,0,[]
TMPV.NS,SELL,2026-05-04 03:45:00+00:00,341.5,292,0.057598756307831386,1.2714276994977678,,,TMPV.NS,,,,"TMPV.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-05-04 03:50:00+00:00,339.54998779296875,TRAILING_STOP,569.403564453125,123.20779890486084,446.19576554826415,0,[]
TRENT.NS,SELL,2026-05-04 03:50:00+00:00,4153.60009765625,24,0.039394540168317706,13.942905970982142,,,TRENT.NS,,,,"TRENT.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-05-04 04:00:00+00:00,4150.10009765625,TRAILING_STOP,84.0,123.31564162210937,-39.31564162210937,0,[]
ULTRACEMCO.NS,SELL,2026-05-04 04:00:00+00:00,11674.0,8,0.01691453812731066,38.714285714285715,,,ULTRACEMCO.NS,,,,"ULTRACEMCO.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-05-04 05:15:00+00:00,11702.0,TRAILING_STOP,-224.0,118.59184512,-342.59184512,0,[]
AXISBANK.NS,BUY,2026-05-04 05:20:00+00:00,1277.5,78,0.06534035411900525,3.24285888671875,,,AXISBANK.NS,,,,"AXISBANK.NS context GAP_UP / SIDEWAYS -> ['VWAP', 'RSI'] with 2 confirmations",2026-05-04 05:30:00+00:00,1274.5,TRAILING_STOP,-234.0,123.19175584,-357.19175584,0,[]
BAJAJ-AUTO.NS,BUY,2026-05-04 05:30:00+00:00,10297.5,9,0.09846589148773585,23.714285714285715,,,BAJAJ-AUTO.NS,,,,"BAJAJ-AUTO.NS context GAP_DOWN / SIDEWAYS -> ['VWAP', 'RSI'] with 2 confirmations",2026-05-04 05:50:00+00:00,10265.5,TRAILING_STOP,-288.0,117.84355663000001,-405.84355663,0,[]
ONGC.NS,SELL,2026-05-04 05:50:00+00:00,293.5,340,0.04967425127678768,0.5714307512555804,,,ONGC.NS,,,,"ONGC.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-05-04 06:05:00+00:00,294.04998779296875,TRAILING_STOP,-186.995849609375,123.4684485015503,-310.4642981109253,0,[]
BAJFINANCE.NS,BUY,2026-05-04 06:10:00+00:00,962.9000244140625,103,0.05055926109430895,2.1535731724330356,,,BAJFINANCE.NS,,,,"BAJFINANCE.NS context GAP_DOWN / GAP_GO -> ['ORB', 'VWAP', 'BREAKOUT'] with 2 confirmations",2026-05-04 06:35:00+00:00,963.7999877929688,TRAILING_STOP,92.69622802734375,122.99630575424256,-30.300077726898806,0,[]
NESTLEIND.NS,BUY,2026-05-04 06:35:00+00:00,1461.5999755859375,68,0.03934619531703571,2.471435546875,,,NESTLEIND.NS,,,,"NESTLEIND.NS context GAP_DOWN / SIDEWAYS -> ['VWAP', 'RSI'] with 2 confirmations",2026-05-04 06:40:00+00:00,1456.699951171875,TRAILING_STOP,-333.20166015625,122.9472778313916,-456.1489379876416,0,[]
RELIANCE.NS,BUY,2026-05-04 06:40:00+00:00,1446.800048828125,68,0.03181973496401856,1.9785853794642858,,,RELIANCE.NS,,,,"RELIANCE.NS context GAP_DOWN / GAP_GO -> ['ORB', 'VWAP', 'BREAKOUT'] with 2 confirmations",2026-05-04 06:45:00+00:00,1450.5999755859375,TRAILING_STOP,258.39501953125,122.4696139341455,135.9254055971045,0,[]
SBIN.NS,SELL,2026-05-04 06:45:00+00:00,1076.0,92,0.017541599195661964,2.735743931361607,,,SBIN.NS,,,,"SBIN.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-05-04 07:55:00+00:00,1068.9000244140625,TRAILING_STOP,653.19775390625,122.63051182269044,530.5672420835596,0,[]
SUNPHARMA.NS,BUY,2026-05-04 07:55:00+00:00,1815.0,55,0.04855563640596497,2.4285801478794644,,,SUNPHARMA.NS,,,,"SUNPHARMA.NS context GAP_DOWN / GAP_GO -> ['ORB', 'VWAP', 'BREAKOUT'] with 2 confirmations",2026-05-04 08:00:00+00:00,1815.0999755859375,TRAILING_STOP,5.4986572265625,123.44704323450318,-117.94838600794068,0,[]
HINDUNILVR.NS,BUY,2026-05-04 08:05:00+00:00,2302.0,43,0.20914186165109067,5.778581891741071,,,HINDUNILVR.NS,,,,"HINDUNILVR.NS context GAP_UP / SIDEWAYS -> ['VWAP', 'RSI'] with 2 confirmations",2026-05-04 08:10:00+00:00,2309.800048828125,TRAILING_STOP,335.402099609375,122.96850801877684,212.43359159059816,0,[]
INDIGO.NS,SELL,2026-05-04 08:10:00+00:00,4261.2998046875,23,0.05278515745066413,10.914236886160714,,,INDIGO.NS,,,,"INDIGO.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-05-04 08:40:00+00:00,4279.7998046875,TRAILING_STOP,-425.5,122.17368718595705,-547.6736871859571,0,[]
KOTAKBANK.NS,SELL,2026-05-04 08:40:00+00:00,371.54998779296875,269,0.03241863581677792,0.7178562709263393,,,KOTAKBANK.NS,,,,"KOTAKBANK.NS context GAP_DOWN / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-05-04 09:00:00+00:00,370.8999938964844,TRAILING_STOP,174.84835815429688,123.48993944288362,51.35841871141325,0,[]
NTPC.NS,SELL,2026-05-04 09:00:00+00:00,399.3999938964844,250,0.0146637533808834,0.8357064383370536,,,NTPC.NS,,,,"NTPC.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-05-04 09:15:00+00:00,398.54998779296875,TRAILING_STOP,212.50152587890625,123.40565479469299,89.09587108421326,0,[]
HCLTECH.NS,SELL,2026-05-04 09:20:00+00:00,1200.199951171875,83,0.09495891109198472,1.7428763253348214,,,HCLTECH.NS,,,,"HCLTECH.NS context NO_GAP / SIDEWAYS -> ['MA', 'RSI'] with 2 confirmations",2026-05-04 09:30:00+00:00,1200.4000244140625,TRAILING_STOP,-16.6060791015625,123.28967867944945,-139.89575778101195,0,[]
HINDALCO.NS,SELL,2026-05-04 09:30:00+00:00,1044.4000244140625,95,0.01594216050221898,2.0071323939732144,,,HINDALCO.NS,,,,"HINDALCO.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-05-04 09:55:00+00:00,1040.5999755859375,TRAILING_STOP,361.004638671875,122.88257226025391,238.1220664116211,0,[]
TECHM.NS,BUY,2026-05-04 09:55:00+00:00,1471.5999755859375,67,0.018366944634617556,3.0071236746651784,,,TECHM.NS,,,,"TECHM.NS context GAP_DOWN / GAP_GO -> ['ORB', 'VWAP', 'BREAKOUT'] with 2 confirmations",2026-05-05 03:45:00+00:00,1479.9000244140625,STOP_LOSS,556.103271484375,122.78010980486329,433.3231616795117,0,[]
TRENT.NS,SELL,2026-05-05 03:45:00+00:00,4144.0,24,0.03691831312458177,12.135672433035714,,,TRENT.NS,,,,"TRENT.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-05-05 03:50:00+00:00,4120.89990234375,TRAILING_STOP,554.40234375,123.01176722675783,431.3905765232422,0,[]
DRREDDY.NS,SELL,2026-05-05 03:55:00+00:00,1282.4000244140625,77,0.0696894270565808,4.242850167410714,,,DRREDDY.NS,,,,"DRREDDY.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-05-05 04:15:00+00:00,1286.0999755859375,TRAILING_STOP,-284.896240234375,122.69676521857423,-407.5930054529492,0,[]
SUNPHARMA.NS,BUY,2026-05-05 04:15:00+00:00,1803.0,55,0.09374914359015173,4.757132393973214,,,SUNPHARMA.NS,,,,"SUNPHARMA.NS context GAP_DOWN / SIDEWAYS -> ['VWAP', 'RSI'] with 2 confirmations",2026-05-05 05:20:00+00:00,1814.699951171875,TRAILING_STOP,643.497314453125,123.25677359400635,520.2405408591187,0,[]
TMPV.NS,SELL,2026-05-05 05:20:00+00:00,340.79998779296875,293,0.05617781550274771,0.6000017438616071,,,TMPV.NS,,,,"TMPV.NS context GAP_UP / GAP_FILL -> ['ORB', 'VWAP'] with 2 confirmations",2026-05-05 06:40:00+00:00,340.70001220703125,TRAILING_STOP,29.2928466796875,123.45882646813476,-94.16597978844726,0,[]
