symbol,side,entry_time,entry_price,quantity,score,atr,strategy,option_signal,trade_identity,underlying_symbol,strike,option_type,entry_reason,exit_time,exit_price,exit_reason,pnl,estimated_charges,net_pnl,partial_exit_count,partial_exit_events
BAJAJ-AUTO.NS,BUY,2026-05-04 03:45:00+00:00,10456.0,7,0.09356008853426616,80.17857142857143,,,BAJAJ-AUTO.NS,,,,,2026-05-04 04:30:00+00:00,10322.0,TRAILING_STOP,-938.0,102.64119294000001,-1040.64119294,0,[]
TMPV.NS,SELL,2026-05-04 04:30:00+00:00,342.6000061035156,242,0.055082567786287964,2.4535740443638394,,,TMPV.NS,,,,,2026-05-05 07:30:00+00:00,343.29998779296875,TRAILING_STOP,-169.39556884765625,110.57044686535582,-279.9660157130121,0,[]
TRENT.NS,SELL,2026-05-05 07:30:00+00:00,4118.7001953125,24,0.034643682181963155,14.464320591517858,,,TRENT.NS,,,,,2026-05-05 09:45:00+00:00,4135.39990234375,TRAILING_STOP,-400.79296875,122.80771164449219,-523.6006803944922,0,[]
WIPRO.NS,SELL,2026-05-05 09:45:00+00:00,200.0800018310547,492,0.011751600587102161,0.30571419852120535,,,WIPRO.NS,,,,,2026-05-05 09:45:00+00:00,200.0800018310547,END_OF_TEST,0.0,122.38601506887328,-122.38601506887328,0,[]
