symbol,side,entry_time,entry_price,quantity,score,atr,strategy,option_signal,trade_identity,underlying_symbol,strike,option_type,entry_reason,exit_time,exit_price,exit_reason,pnl,estimated_charges,net_pnl,partial_exit_count,partial_exit_events,underlying_close_at_entry
INFY.NS,BUY,2026-02-09,1497.199951171875,7,0.13018918292264997,44.54286411830357,,,INFY.NS,,,,,2026-02-11,1474.741951904297,STOP_LOSS,-157.20599487304662,16.927434800606214,-174.13342967365284,0,[],
HCLTECH.NS,BUY,2026-02-10,1573.0999755859375,7,0.03881613171165339,42.935721261160715,,,HCLTECH.NS,,,,,2026-02-11,1549.5034759521484,STOP_LOSS,-165.17549743652376,17.785565148278106,-182.96106258480185,0,[],
HCLTECH.NS,BUY,2026-02-11,1551.5999755859375,7,0.053667425648954,43.364292689732146,,,HCLTECH.NS,,,,,2026-02-12,1528.3259759521484,STOP_LOSS,-162.91799743652382,17.542484824953103,-180.46048226147693,0,[],
HCLTECH.NS,BUY,2026-02-12,1476.0999755859375,7,0.15698142561565073,47.264290945870535,,,HCLTECH.NS,,,,,2026-02-13,1423.0,STOP_LOSS,-371.6998291015625,16.41974802602661,-388.1195771275891,0,[],
TECHM.NS,BUY,2026-02-13,1534.4000244140625,5,0.08643918898654554,58.17857142857143,,,TECHM.NS,,,,,2026-02-16,1511.3840240478517,STOP_LOSS,-115.08000183105423,12.391443655962068,-127.4714454870163,0,[],
TECHM.NS,BUY,2026-02-16,1512.699951171875,5,0.19800784378105302,58.05000523158482,,,TECHM.NS,,,,,2026-02-17,1536.9031503906251,TARGET,121.01599609375057,12.507383186516796,108.50861290723378,0,[],
TECHM.NS,BUY,2026-02-17,1523.800048828125,5,0.20991853742579888,59.171439034598215,,,TECHM.NS,,,,,2026-02-18,1500.943048095703,STOP_LOSS,-114.28500366210983,12.305840815674133,-126.59084447778396,0,[],
TECHM.NS,BUY,2026-02-18,1504.800048828125,5,0.22751103255783156,59.62858363560268,,,TECHM.NS,,,,,2026-02-19,1482.2280480957031,STOP_LOSS,-112.86000366210942,12.152401408924133,-125.01240507103356,0,[],
TECHM.NS,BUY,2026-02-19,1479.300048828125,5,0.22286360602364527,61.27858189174107,,,TECHM.NS,,,,,2026-02-20,1457.110548095703,STOP_LOSS,-110.94750366210974,11.946469573549134,-122.89397323565888,0,[],
TECHM.NS,BUY,2026-02-20,1456.9000244140625,5,0.2175954916313501,60.728585379464285,,,TECHM.NS,,,,,2026-02-23,1435.0465240478516,STOP_LOSS,-109.26750183105469,11.765572391587067,-121.03307422264176,0,[],
TRENT.NS,BUY,2026-03-02,3848.5,3,0.05972573508436407,102.43572126116071,,,TRENT.NS,,,,,2026-03-04,3790.300048828125,STOP_LOSS,-174.599853515625,18.645973177917483,-193.24582669354248,0,[],
