timestamp,equity,cash,open_positions
2025-11-06,100000.0,100000.0,0
2025-11-07,100000.0,100000.0,0
2025-11-10,100000.0,100000.0,0
2025-11-11,100000.0,100000.0,0
2025-11-12,100000.0,100000.0,0
2025-11-13,100000.0,100000.0,0
2025-11-14,100000.0,100000.0,0
2025-11-17,100000.0,100000.0,0
2025-11-18,100000.0,100000.0,0
2025-11-19,100000.0,100000.0,0
2025-11-20,100000.0,100000.0,0
2025-11-21,100000.0,100000.0,0
2025-11-24,100000.0,100000.0,0
2025-11-25,100000.0,100000.0,0
2025-11-26,100000.0,100000.0,0
2025-11-27,100000.0,100000.0,0
2025-11-28,100000.0,100000.0,0
2025-12-01,100000.0,100000.0,0
2025-12-02,100000.0,100000.0,0
2025-12-03,100000.0,100000.0,0
2025-12-04,100000.0,100000.0,0
2025-12-05,100000.0,100000.0,0
2025-12-08,100000.0,100000.0,0
2025-12-09,100000.0,100000.0,0
2025-12-10,100000.0,100000.0,0
2025-12-11,100000.0,100000.0,0
2025-12-12,100000.0,100000.0,0
2025-12-15,100000.0,100000.0,0
2025-12-16,100000.0,100000.0,0
2025-12-17,100000.0,100000.0,0
2025-12-18,100000.0,100000.0,0
2025-12-19,100000.0,100000.0,0
2025-12-22,100000.0,100000.0,0
2025-12-23,100000.0,100000.0,0
2025-12-24,100000.0,100000.0,0
2025-12-26,100000.0,100000.0,0
2025-12-29,100000.0,100000.0,0
2025-12-30,100000.0,100000.0,0
2025-12-31,100000.0,100000.0,0
2026-01-01,100000.0,100000.0,0
2026-01-02,100000.0,100000.0,0
2026-01-05,100000.0,100000.0,0
2026-01-06,100000.0,100000.0,0
2026-01-07,100000.0,100000.0,0
2026-01-08,100000.0,100000.0,0
2026-01-09,100000.0,100000.0,0
2026-01-12,100000.0,100000.0,0
2026-01-13,100000.0,100000.0,0
2026-01-14,100000.0,100000.0,0
2026-01-15,100000.0,100000.0,0
2026-01-16,100000.0,100000.0,0
2026-01-19,100000.0,72507.19921875,1
2026-01-20,99363.19921875,72507.19921875,1
2026-01-21,99494.3984375,99494.3984375,0
2026-01-22,99494.3984375,99494.3984375,0
2026-01-23,99494.3984375,99494.3984375,0
2026-01-27,99494.3984375,110663.79870605469,1
2026-01-28,98946.59924316406,110663.79870605469,1
2026-01-29,98548.3984375,74472.31756591797,1
2026-01-30,97454.78814697266,97454.78814697266,0
2026-02-02,97454.78814697266,97454.78814697266,0
2026-02-03,97454.78814697266,97454.78814697266,0
2026-02-04,97454.78814697266,97454.78814697266,0
2026-02-05,97454.78814697266,97454.78814697266,0
2026-02-06,97454.78814697266,97454.78814697266,0
2026-02-09,97454.78814697266,97454.78814697266,0
2026-02-10,97454.78814697266,73823.58892822266,1
2026-02-11,97284.38970947266,73823.58892822266,1
2026-02-12,97227.58892822266,73823.58892822266,1
2026-02-13,96927.58892822266,73823.58892822266,1
2026-02-16,97125.18853759766,73823.58892822266,1
2026-02-17,97026.78814697266,73823.58892822266,1
2026-02-18,97293.98931884766,73823.58892822266,1
2026-02-19,96737.98931884766,96737.98931884766,0
2026-02-20,96737.98931884766,96737.98931884766,0
2026-02-23,96737.98931884766,62572.03820800781,1
2026-02-24,97402.28820800781,62572.03820800781,1
2026-02-25,97597.93765258789,62572.03820800781,1
2026-02-26,97324.93765258789,62572.03820800781,1
2026-02-27,97324.93765258789,62572.03820800781,1
2026-03-02,96929.08709716797,96929.08709716797,0
2026-03-04,96929.08709716797,114500.68670654297,1
2026-03-05,96449.48748779297,114500.68670654297,1
2026-03-06,96884.28631591797,114500.68670654297,1
2026-03-09,97553.88592529297,114500.68670654297,1
2026-03-10,96979.08709716797,96979.08709716797,0
2026-03-11,96979.08709716797,96979.08709716797,0
2026-03-12,96979.08709716797,118960.68621826172,1
2026-03-13,97266.18621826172,118960.68621826172,1
2026-03-16,97277.88665771484,118960.68621826172,1
2026-03-17,97435.38665771484,118960.68621826172,1
2026-03-18,96993.4857788086,96993.4857788086,0
2026-03-19,96993.4857788086,123016.68475341797,1
2026-03-20,96632.28424072266,123016.68475341797,1
2026-03-23,97358.88372802734,123016.68475341797,1
2026-03-24,97409.28424072266,123016.68475341797,1
2026-03-25,96884.28424072266,123016.68475341797,1
2026-03-27,96928.38372802734,123016.68475341797,1
2026-03-30,97308.4857788086,123016.68475341797,1
2026-04-01,97902.78424072266,97902.78424072266,0
2026-04-02,97902.78424072266,114885.78350830078,1
2026-04-06,97473.7827758789,114885.78350830078,1
2026-04-07,97434.78314208984,114885.78350830078,1
2026-04-08,96936.78387451172,96936.78387451172,0
2026-04-09,96936.78387451172,96936.78387451172,0
2026-04-10,96936.78387451172,96936.78387451172,0
2026-04-13,96936.78387451172,96936.78387451172,0
2026-04-15,96936.78387451172,96936.78387451172,0
2026-04-16,96936.78387451172,96936.78387451172,0
2026-04-17,96936.78387451172,96936.78387451172,0
2026-04-20,96936.78387451172,73918.38299560547,1
2026-04-21,96911.5834350586,73918.38299560547,1
2026-04-22,96940.38299560547,73918.38299560547,1
2026-04-23,96897.18255615234,73918.38299560547,1
2026-04-24,96699.18255615234,73918.38299560547,1
2026-04-27,97023.18255615234,73918.38299560547,1
2026-04-28,96886.38299560547,73918.38299560547,1
2026-04-29,96983.5834350586,73918.38299560547,1
2026-04-30,96839.5834350586,73918.38299560547,1
2026-05-01,96839.5834350586,73918.38299560547,1
2026-05-04,96889.98211669922,73918.38299560547,1
2026-05-05,96918.78387451172,73918.38299560547,1
